"Time (CET)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"10.01.2019 07:15 - 10.01.2019 07:30","65433","69122"
"10.01.2019 07:30 - 10.01.2019 07:45","66451","69699"
"10.01.2019 07:45 - 10.01.2019 08:00","67130","70478"
"10.01.2019 08:00 - 10.01.2019 08:15","68266","71933"
"10.01.2019 08:15 - 10.01.2019 08:30","68068","72328"
"10.01.2019 08:30 - 10.01.2019 08:45","68301","72269"
"10.01.2019 08:45 - 10.01.2019 09:00","68517","72271"
"10.01.2019 09:00 - 10.01.2019 09:15","68207","71954"
"10.01.2019 09:15 - 10.01.2019 09:30","69279","72335"
"10.01.2019 09:30 - 10.01.2019 09:45","68793","72772"
"10.01.2019 09:45 - 10.01.2019 10:00","69482","72525"
"10.01.2019 10:00 - 10.01.2019 10:15","69663","73320"
"10.01.2019 10:15 - 10.01.2019 10:30","69337","73379"
"10.01.2019 10:30 - 10.01.2019 10:45","69447","73463"
"10.01.2019 10:45 - 10.01.2019 11:00","69378","73687"
"10.01.2019 11:00 - 10.01.2019 11:15","70138","73948"
"10.01.2019 11:15 - 10.01.2019 11:30","70343","73984"
"10.01.2019 11:30 - 10.01.2019 11:45","70535","74146"
"10.01.2019 11:45 - 10.01.2019 12:00","70524","73859"
"10.01.2019 12:00 - 10.01.2019 12:15","69298","73747"
"10.01.2019 12:15 - 10.01.2019 12:30","69676","73583"
"10.01.2019 12:30 - 10.01.2019 12:45","69569","73515"
"10.01.2019 12:45 - 10.01.2019 13:00","69586","73493"
"10.01.2019 13:00 - 10.01.2019 13:15","69374","73676"
"10.01.2019 13:15 - 10.01.2019 13:30","69373","73505"
"10.01.2019 13:30 - 10.01.2019 13:45","68706","72876"
"10.01.2019 13:45 - 10.01.2019 14:00","68575","72310"
"10.01.2019 14:00 - 10.01.2019 14:15","68504","72084"
"10.01.2019 14:15 - 10.01.2019 14:30","68066","72067"
"10.01.2019 14:30 - 10.01.2019 14:45","68173","71841"
"10.01.2019 14:45 - 10.01.2019 15:00","68076","71839"
"10.01.2019 15:00 - 10.01.2019 15:15","67781","71881"
"10.01.2019 15:15 - 10.01.2019 15:30","68103","71614"
"10.01.2019 15:30 - 10.01.2019 15:45","67965","71356"
"10.01.2019 15:45 - 10.01.2019 16:00","68178","71370"
"10.01.2019 16:00 - 10.01.2019 16:15","68399","71277"
"10.01.2019 16:15 - 10.01.2019 16:30","68267","71464"
"10.01.2019 16:30 - 10.01.2019 16:45","68143","71996"
"10.01.2019 16:45 - 10.01.2019 17:00","69944","72816"
"10.01.2019 17:00 - 10.01.2019 17:15","70616","73880"
"10.01.2019 17:15 - 10.01.2019 17:30","71260","74255"
"10.01.2019 17:30 - 10.01.2019 17:45","70999","74464"
"10.01.2019 17:45 - 10.01.2019 18:00","71782","74528"
"10.01.2019 18:00 - 10.01.2019 18:15","71434","74000"
"10.01.2019 18:15 - 10.01.2019 18:30","71377","73571"
"10.01.2019 18:30 - 10.01.2019 18:45","71398","73360"
"10.01.2019 18:45 - 10.01.2019 19:00","70397","73354"
"10.01.2019 19:00 - 10.01.2019 19:15","69941","73116"
"10.01.2019 19:15 - 10.01.2019 19:30","69522","72423"
"10.01.2019 19:30 - 10.01.2019 19:45","69248","71659"
"10.01.2019 19:45 - 10.01.2019 20:00","67967","71091"
"10.01.2019 20:00 - 10.01.2019 20:15","67260","70113"
"10.01.2019 20:15 - 10.01.2019 20:30","65577","69183"
"10.01.2019 20:30 - 10.01.2019 20:45","64876","68170"
"10.01.2019 20:45 - 10.01.2019 21:00","64329","67292"
"10.01.2019 21:00 - 10.01.2019 21:15","63003","66387"
"10.01.2019 21:15 - 10.01.2019 21:30","62539","65399"
"10.01.2019 21:30 - 10.01.2019 21:45","62534","64466"
"10.01.2019 21:45 - 10.01.2019 22:00","61640","63792"
"10.01.2019 22:00 - 10.01.2019 22:15","61773","64088"
"10.01.2019 22:15 - 10.01.2019 22:30","59805","63483"
"10.01.2019 22:30 - 10.01.2019 22:45","59998","62310"
"10.01.2019 22:45 - 10.01.2019 23:00","58340","61635"
"10.01.2019 23:00 - 10.01.2019 23:15","58202","60174"
"10.01.2019 23:15 - 10.01.2019 23:30","56772","59409"
"10.01.2019 23:30 - 10.01.2019 23:45","55215","58973"
"10.01.2019 23:45 - 11.01.2019 00:00","54657","58309"
"11.01.2019 00:00 - 11.01.2019 00:15","53390","57997"
"11.01.2019 00:15 - 11.01.2019 00:30","52757","57340"
"11.01.2019 00:30 - 11.01.2019 00:45","52233","56722"
"11.01.2019 00:45 - 11.01.2019 01:00","51601","56195"
"11.01.2019 01:00 - 11.01.2019 01:15","51088","55420"
"11.01.2019 01:15 - 11.01.2019 01:30","50695","54814"
"11.01.2019 01:30 - 11.01.2019 01:45","50541","54598"
"11.01.2019 01:45 - 11.01.2019 02:00","50175","54387"
"11.01.2019 02:00 - 11.01.2019 02:15","49769","54045"
"11.01.2019 02:15 - 11.01.2019 02:30","49638","54124"
"11.01.2019 02:30 - 11.01.2019 02:45","49773","54328"
"11.01.2019 02:45 - 11.01.2019 03:00","49706","54343"
"11.01.2019 03:00 - 11.01.2019 03:15","49825","54471"
"11.01.2019 03:15 - 11.01.2019 03:30","49811","54581"
"11.01.2019 03:30 - 11.01.2019 03:45","49825","54782"
"11.01.2019 03:45 - 11.01.2019 04:00","49924","55068"
"11.01.2019 04:00 - 11.01.2019 04:15","50229","55410"
"11.01.2019 04:15 - 11.01.2019 04:30","50467","55739"
"11.01.2019 04:30 - 11.01.2019 04:45","50811","56165"
"11.01.2019 04:45 - 11.01.2019 05:00","51217","56640"
"11.01.2019 05:00 - 11.01.2019 05:15","52079","57476"
"11.01.2019 05:15 - 11.01.2019 05:30","52379","58044"
"11.01.2019 05:30 - 11.01.2019 05:45","53308","59267"
"11.01.2019 05:45 - 11.01.2019 06:00","54448","60701"
"11.01.2019 06:00 - 11.01.2019 06:15","56277","63371"
"11.01.2019 06:15 - 11.01.2019 06:30","58268","65555"
"11.01.2019 06:30 - 11.01.2019 06:45","59865","67560"
"11.01.2019 06:45 - 11.01.2019 07:00","61163","69370"
"11.01.2019 07:00 - 11.01.2019 07:15","62377","71153"
"11.01.2019 07:15 - 11.01.2019 07:30","63293","72262"
"11.01.2019 07:30 - 11.01.2019 07:45","65797","73272"
"11.01.2019 07:45 - 11.01.2019 08:00","66407","74106"
"11.01.2019 08:00 - 11.01.2019 08:15","67369","74845"
"11.01.2019 08:15 - 11.01.2019 08:30","67403","75031"
"11.01.2019 08:30 - 11.01.2019 08:45","67480","75231"
"11.01.2019 08:45 - 11.01.2019 09:00","67913","75571"
"11.01.2019 09:00 - 11.01.2019 09:15","67650","75367"
"11.01.2019 09:15 - 11.01.2019 09:30","68425","75642"
"11.01.2019 09:30 - 11.01.2019 09:45","68293","75760"
"11.01.2019 09:45 - 11.01.2019 10:00","68330","76261"
"11.01.2019 10:00 - 11.01.2019 10:15","68760","76217"
"11.01.2019 10:15 - 11.01.2019 10:30","68445","76099"
"11.01.2019 10:30 - 11.01.2019 10:45","68561","76598"
"11.01.2019 10:45 - 11.01.2019 11:00","68657","75793"
"11.01.2019 11:00 - 11.01.2019 11:15","69464","76769"
"11.01.2019 11:15 - 11.01.2019 11:30","69625","77238"
"11.01.2019 11:30 - 11.01.2019 11:45","69874","77161"
"11.01.2019 11:45 - 11.01.2019 12:00","69991","76383"
"11.01.2019 12:00 - 11.01.2019 12:15","68906","76739"
"11.01.2019 12:15 - 11.01.2019 12:30","69318","76409"
"11.01.2019 12:30 - 11.01.2019 12:45","68844","75665"
"11.01.2019 12:45 - 11.01.2019 13:00","68780","75435"
"11.01.2019 13:00 - 11.01.2019 13:15","68359","76101"
"11.01.2019 13:15 - 11.01.2019 13:30","68149","75696"
"11.01.2019 13:30 - 11.01.2019 13:45","67601","74330"
"11.01.2019 13:45 - 11.01.2019 14:00","66935","73462"
"11.01.2019 14:00 - 11.01.2019 14:15","66668","74009"
"11.01.2019 14:15 - 11.01.2019 14:30","66262","72840"
"11.01.2019 14:30 - 11.01.2019 14:45","66257","72734"
"11.01.2019 14:45 - 11.01.2019 15:00","66061","72386"
"11.01.2019 15:00 - 11.01.2019 15:15","65534","72162"
"11.01.2019 15:15 - 11.01.2019 15:30","66076","71878"
"11.01.2019 15:30 - 11.01.2019 15:45","65899","71639"
"11.01.2019 15:45 - 11.01.2019 16:00","65761","71596"
"11.01.2019 16:00 - 11.01.2019 16:15","66240","72486"
"11.01.2019 16:15 - 11.01.2019 16:30","66282","72557"
"11.01.2019 16:30 - 11.01.2019 16:45","66255","72941"
"11.01.2019 16:45 - 11.01.2019 17:00","67971","73543"
"11.01.2019 17:00 - 11.01.2019 17:15","68765","74539"
"11.01.2019 17:15 - 11.01.2019 17:30","69366","75105"
"11.01.2019 17:30 - 11.01.2019 17:45","69376","75119"
"11.01.2019 17:45 - 11.01.2019 18:00","69713","74886"
"11.01.2019 18:00 - 11.01.2019 18:15","69549","74383"
"11.01.2019 18:15 - 11.01.2019 18:30","69569","73966"
"11.01.2019 18:30 - 11.01.2019 18:45","69473","73760"
"11.01.2019 18:45 - 11.01.2019 19:00","68722","73386"
"11.01.2019 19:00 - 11.01.2019 19:15","68320","73027"
"11.01.2019 19:15 - 11.01.2019 19:30","67691","72491"
"11.01.2019 19:30 - 11.01.2019 19:45","67071","71820"
"11.01.2019 19:45 - 11.01.2019 20:00","66045","71013"
"11.01.2019 20:00 - 11.01.2019 20:15","65128","69509"
"11.01.2019 20:15 - 11.01.2019 20:30","63504","68105"
"11.01.2019 20:30 - 11.01.2019 20:45","62585","66937"
"11.01.2019 20:45 - 11.01.2019 21:00","61915","66177"
"11.01.2019 21:00 - 11.01.2019 21:15","60644","65282"
"11.01.2019 21:15 - 11.01.2019 21:30","60115","64336"
"11.01.2019 21:30 - 11.01.2019 21:45","59818","63533"
"11.01.2019 21:45 - 11.01.2019 22:00","59087","62714"
"11.01.2019 22:00 - 11.01.2019 22:15","59218","62706"
"11.01.2019 22:15 - 11.01.2019 22:30","58142","61939"
"11.01.2019 22:30 - 11.01.2019 22:45","57806","61005"
"11.01.2019 22:45 - 11.01.2019 23:00","56582","60139"
"11.01.2019 23:00 - 11.01.2019 23:15","55623","58918"
"11.01.2019 23:15 - 11.01.2019 23:30","54440","58059"
"11.01.2019 23:30 - 11.01.2019 23:45","53284","57261"
"11.01.2019 23:45 - 12.01.2019 00:00","52440","56701"
"12.01.2019 00:00 - 12.01.2019 00:15","52101","54766"
"12.01.2019 00:15 - 12.01.2019 00:30","51274","53850"
"12.01.2019 00:30 - 12.01.2019 00:45","50677","53123"
"12.01.2019 00:45 - 12.01.2019 01:00","50233","52629"
"12.01.2019 01:00 - 12.01.2019 01:15","49774","51896"
"12.01.2019 01:15 - 12.01.2019 01:30","48981","51264"
"12.01.2019 01:30 - 12.01.2019 01:45","49079","51020"
"12.01.2019 01:45 - 12.01.2019 02:00","48765","50595"
"12.01.2019 02:00 - 12.01.2019 02:15","48352","49937"
"12.01.2019 02:15 - 12.01.2019 02:30","47991","49534"
"12.01.2019 02:30 - 12.01.2019 02:45","48247","49243"
"12.01.2019 02:45 - 12.01.2019 03:00","48129","49381"
"12.01.2019 03:00 - 12.01.2019 03:15","47987","48955"
"12.01.2019 03:15 - 12.01.2019 03:30","47978","48738"
"12.01.2019 03:30 - 12.01.2019 03:45","47910","48647"
"12.01.2019 03:45 - 12.01.2019 04:00","47791","48233"
"12.01.2019 04:00 - 12.01.2019 04:15","48176","49001"
"12.01.2019 04:15 - 12.01.2019 04:30","47947","49084"
"12.01.2019 04:30 - 12.01.2019 04:45","48067","48999"
"12.01.2019 04:45 - 12.01.2019 05:00","48279","48935"
"12.01.2019 05:00 - 12.01.2019 05:15","48321","49555"
"12.01.2019 05:15 - 12.01.2019 05:30","47970","49498"
"12.01.2019 05:30 - 12.01.2019 05:45","48306","49380"
"12.01.2019 05:45 - 12.01.2019 06:00","48429","49530"
"12.01.2019 06:00 - 12.01.2019 06:15","48285","50338"
"12.01.2019 06:15 - 12.01.2019 06:30","49088","50776"
"12.01.2019 06:30 - 12.01.2019 06:45","49576","51268"
"12.01.2019 06:45 - 12.01.2019 07:00","50171","51592"
"12.01.2019 07:00 - 12.01.2019 07:15","50863","52867"
"12.01.2019 07:15 - 12.01.2019 07:30","51218","53879"
"12.01.2019 07:30 - 12.01.2019 07:45","52172","54606"
"12.01.2019 07:45 - 12.01.2019 08:00","52937","55289"
"12.01.2019 08:00 - 12.01.2019 08:15","54201","56514"
"12.01.2019 08:15 - 12.01.2019 08:30","54510","57289"
"12.01.2019 08:30 - 12.01.2019 08:45","55181","57819"
"12.01.2019 08:45 - 12.01.2019 09:00","56066","58296"
"12.01.2019 09:00 - 12.01.2019 09:15","56690","59972"
"12.01.2019 09:15 - 12.01.2019 09:30","57986","60733"
"12.01.2019 09:30 - 12.01.2019 09:45","58082","61286"
"12.01.2019 09:45 - 12.01.2019 10:00","58631","61539"
"12.01.2019 10:00 - 12.01.2019 10:15","59047","62993"
"12.01.2019 10:15 - 12.01.2019 10:30","59145","63213"
"12.01.2019 10:30 - 12.01.2019 10:45","59201","63753"
"12.01.2019 10:45 - 12.01.2019 11:00","59295","63763"
"12.01.2019 11:00 - 12.01.2019 11:15","59995","64494"
"12.01.2019 11:15 - 12.01.2019 11:30","60343","65053"
"12.01.2019 11:30 - 12.01.2019 11:45","60691","65210"
"12.01.2019 11:45 - 12.01.2019 12:00","60392","65260"
"12.01.2019 12:00 - 12.01.2019 12:15","60028","64917"
"12.01.2019 12:15 - 12.01.2019 12:30","60230","64925"
"12.01.2019 12:30 - 12.01.2019 12:45","59663","64671"
"12.01.2019 12:45 - 12.01.2019 13:00","59503","64249"
"12.01.2019 13:00 - 12.01.2019 13:15","59144","63831"
"12.01.2019 13:15 - 12.01.2019 13:30","58817","63111"
"12.01.2019 13:30 - 12.01.2019 13:45","58226","62872"
"12.01.2019 13:45 - 12.01.2019 14:00","57771","62481"
"12.01.2019 14:00 - 12.01.2019 14:15","57329","62226"
"12.01.2019 14:15 - 12.01.2019 14:30","56600","61868"
"12.01.2019 14:30 - 12.01.2019 14:45","56625","61834"
"12.01.2019 14:45 - 12.01.2019 15:00","56874","61585"
"12.01.2019 15:00 - 12.01.2019 15:15","57278","61451"
"12.01.2019 15:15 - 12.01.2019 15:30","56774","61345"
"12.01.2019 15:30 - 12.01.2019 15:45","56645","61303"
"12.01.2019 15:45 - 12.01.2019 16:00","56631","61386"
"12.01.2019 16:00 - 12.01.2019 16:15","57208","61596"
"12.01.2019 16:15 - 12.01.2019 16:30","57859","61987"
"12.01.2019 16:30 - 12.01.2019 16:45","58610","62454"
"12.01.2019 16:45 - 12.01.2019 17:00","58726","63482"
"12.01.2019 17:00 - 12.01.2019 17:15","60122","64699"
"12.01.2019 17:15 - 12.01.2019 17:30","60894","65121"
"12.01.2019 17:30 - 12.01.2019 17:45","61162","65140"
"12.01.2019 17:45 - 12.01.2019 18:00","61642","65096"
"12.01.2019 18:00 - 12.01.2019 18:15","61781","65457"
"12.01.2019 18:15 - 12.01.2019 18:30","61839","64907"
"12.01.2019 18:30 - 12.01.2019 18:45","61863","64593"
"12.01.2019 18:45 - 12.01.2019 19:00","61009","64400"
"12.01.2019 19:00 - 12.01.2019 19:15","60611","63759"
"12.01.2019 19:15 - 12.01.2019 19:30","60312","63006"
"12.01.2019 19:30 - 12.01.2019 19:45","59706","62198"
"12.01.2019 19:45 - 12.01.2019 20:00","58494","61742"
"12.01.2019 20:00 - 12.01.2019 20:15","58030","60787"
"12.01.2019 20:15 - 12.01.2019 20:30","56602","59629"
"12.01.2019 20:30 - 12.01.2019 20:45","55956","58557"
"12.01.2019 20:45 - 12.01.2019 21:00","55406","57953"
"12.01.2019 21:00 - 12.01.2019 21:15","54478","57042"
"12.01.2019 21:15 - 12.01.2019 21:30","53993","56628"
"12.01.2019 21:30 - 12.01.2019 21:45","54136","56035"
"12.01.2019 21:45 - 12.01.2019 22:00","53959","55779"
"12.01.2019 22:00 - 12.01.2019 22:15","54322","56155"
"12.01.2019 22:15 - 12.01.2019 22:30","52951","55513"
"12.01.2019 22:30 - 12.01.2019 22:45","53060","54711"
"12.01.2019 22:45 - 12.01.2019 23:00","51876","54149"
"12.01.2019 23:00 - 12.01.2019 23:15","51318","53527"
"12.01.2019 23:15 - 12.01.2019 23:30","50341","52909"
"12.01.2019 23:30 - 12.01.2019 23:45","49096","52292"
"12.01.2019 23:45 - 13.01.2019 00:00","48522","51417"
"13.01.2019 00:00 - 13.01.2019 00:15","48682","50133"
"13.01.2019 00:15 - 13.01.2019 00:30","48091","49185"
"13.01.2019 00:30 - 13.01.2019 00:45","47576","48743"
"13.01.2019 00:45 - 13.01.2019 01:00","47073","48049"
"13.01.2019 01:00 - 13.01.2019 01:15","46573","47436"
"13.01.2019 01:15 - 13.01.2019 01:30","46133","47038"
"13.01.2019 01:30 - 13.01.2019 01:45","45924","46581"
"13.01.2019 01:45 - 13.01.2019 02:00","45620","46148"
"13.01.2019 02:00 - 13.01.2019 02:15","45314","45804"
"13.01.2019 02:15 - 13.01.2019 02:30","45083","45658"
"13.01.2019 02:30 - 13.01.2019 02:45","45058","45246"
"13.01.2019 02:45 - 13.01.2019 03:00","45014","45129"
"13.01.2019 03:00 - 13.01.2019 03:15","44939","44908"
"13.01.2019 03:15 - 13.01.2019 03:30","44881","44826"
"13.01.2019 03:30 - 13.01.2019 03:45","44812","44847"
"13.01.2019 03:45 - 13.01.2019 04:00","44784","44717"
"13.01.2019 04:00 - 13.01.2019 04:15","44867","44707"
"13.01.2019 04:15 - 13.01.2019 04:30","44852","44485"
"13.01.2019 04:30 - 13.01.2019 04:45","44853","44872"
"13.01.2019 04:45 - 13.01.2019 05:00","44842","44810"
"13.01.2019 05:00 - 13.01.2019 05:15","44899","44792"
"13.01.2019 05:15 - 13.01.2019 05:30","44465","44566"
"13.01.2019 05:30 - 13.01.2019 05:45","44453","44245"
"13.01.2019 05:45 - 13.01.2019 06:00","44122","44078"
"13.01.2019 06:00 - 13.01.2019 06:15","43486","43750"
"13.01.2019 06:15 - 13.01.2019 06:30","43640","43665"
"13.01.2019 06:30 - 13.01.2019 06:45","43905","43829"
"13.01.2019 06:45 - 13.01.2019 07:00","44223","44335"
"13.01.2019 07:00 - 13.01.2019 07:15","44643","45072"
"13.01.2019 07:15 - 13.01.2019 07:30","45024","45499"
"13.01.2019 07:30 - 13.01.2019 07:45","46867","46274"
"13.01.2019 07:45 - 13.01.2019 08:00","47745","46653"
"13.01.2019 08:00 - 13.01.2019 08:15","48715","48289"
"13.01.2019 08:15 - 13.01.2019 08:30","49250","49118"
"13.01.2019 08:30 - 13.01.2019 08:45","49947","50180"
"13.01.2019 08:45 - 13.01.2019 09:00","50738","50486"
"13.01.2019 09:00 - 13.01.2019 09:15","51787","52267"
"13.01.2019 09:15 - 13.01.2019 09:30","53033","53254"
"13.01.2019 09:30 - 13.01.2019 09:45","53571","54227"
"13.01.2019 09:45 - 13.01.2019 10:00","54093","55025"
"13.01.2019 10:00 - 13.01.2019 10:15","54763","55728"
"13.01.2019 10:15 - 13.01.2019 10:30","55221","56387"
"13.01.2019 10:30 - 13.01.2019 10:45","55510","57183"
"13.01.2019 10:45 - 13.01.2019 11:00","56227","57988"
"13.01.2019 11:00 - 13.01.2019 11:15","56868","59013"
"13.01.2019 11:15 - 13.01.2019 11:30","57466","59804"
"13.01.2019 11:30 - 13.01.2019 11:45","58074","60350"
"13.01.2019 11:45 - 13.01.2019 12:00","57933","60591"
"13.01.2019 12:00 - 13.01.2019 12:15","57708","60420"
"13.01.2019 12:15 - 13.01.2019 12:30","57788","60374"
"13.01.2019 12:30 - 13.01.2019 12:45","57299","60088"
"13.01.2019 12:45 - 13.01.2019 13:00","57096","59800"
"13.01.2019 13:00 - 13.01.2019 13:15","56540","59486"
"13.01.2019 13:15 - 13.01.2019 13:30","56130","59111"
"13.01.2019 13:30 - 13.01.2019 13:45","55991","59089"
"13.01.2019 13:45 - 13.01.2019 14:00","55320","58596"
"13.01.2019 14:00 - 13.01.2019 14:15","55140","58281"
"13.01.2019 14:15 - 13.01.2019 14:30","54501","58142"
"13.01.2019 14:30 - 13.01.2019 14:45","54403","58075"
"13.01.2019 14:45 - 13.01.2019 15:00","54961","57800"
"13.01.2019 15:00 - 13.01.2019 15:15","55194","57828"
"13.01.2019 15:15 - 13.01.2019 15:30","54551","57593"
"13.01.2019 15:30 - 13.01.2019 15:45","54711","57549"
"13.01.2019 15:45 - 13.01.2019 16:00","54826","57612"
"13.01.2019 16:00 - 13.01.2019 16:15","55117","57911"
"13.01.2019 16:15 - 13.01.2019 16:30","55731","58234"
"13.01.2019 16:30 - 13.01.2019 16:45","56360","58772"
"13.01.2019 16:45 - 13.01.2019 17:00","56969","59434"
"13.01.2019 17:00 - 13.01.2019 17:15","58323","60656"
"13.01.2019 17:15 - 13.01.2019 17:30","59203","61249"
"13.01.2019 17:30 - 13.01.2019 17:45","59968","61734"
"13.01.2019 17:45 - 13.01.2019 18:00","60326","62344"
"13.01.2019 18:00 - 13.01.2019 18:15","60515","62774"
"13.01.2019 18:15 - 13.01.2019 18:30","60776","62497"
"13.01.2019 18:30 - 13.01.2019 18:45","60619","62433"
"13.01.2019 18:45 - 13.01.2019 19:00","59890","62136"
"13.01.2019 19:00 - 13.01.2019 19:15","59761","61680"
"13.01.2019 19:15 - 13.01.2019 19:30","59306","61176"
"13.01.2019 19:30 - 13.01.2019 19:45","59235","60750"
"13.01.2019 19:45 - 13.01.2019 20:00","58065","60251"
"13.01.2019 20:00 - 13.01.2019 20:15","57725","59284"
"13.01.2019 20:15 - 13.01.2019 20:30","57063","58366"
"13.01.2019 20:30 - 13.01.2019 20:45","56065","57677"
"13.01.2019 20:45 - 13.01.2019 21:00","55854","57217"
"13.01.2019 21:00 - 13.01.2019 21:15","55138","57065"
"13.01.2019 21:15 - 13.01.2019 21:30","54877","56679"
"13.01.2019 21:30 - 13.01.2019 21:45","55220","56354"
"13.01.2019 21:45 - 13.01.2019 22:00","55116","56360"
"13.01.2019 22:00 - 13.01.2019 22:15","55883","56975"
"13.01.2019 22:15 - 13.01.2019 22:30","54881","56522"
"13.01.2019 22:30 - 13.01.2019 22:45","54767","56031"
"13.01.2019 22:45 - 13.01.2019 23:00","53526","55507"
"13.01.2019 23:00 - 13.01.2019 23:15","52849","54633"
"13.01.2019 23:15 - 13.01.2019 23:30","51851","53960"
"13.01.2019 23:30 - 13.01.2019 23:45","50844","53443"
"13.01.2019 23:45 - 14.01.2019 00:00","50330","52456"
"14.01.2019 00:00 - 14.01.2019 00:15","49456","51777"
"14.01.2019 00:15 - 14.01.2019 00:30","49058","51347"
"14.01.2019 00:30 - 14.01.2019 00:45","48663","50917"
"14.01.2019 00:45 - 14.01.2019 01:00","48269","50327"
"14.01.2019 01:00 - 14.01.2019 01:15","48002","49222"
"14.01.2019 01:15 - 14.01.2019 01:30","47046","48999"
"14.01.2019 01:30 - 14.01.2019 01:45","47586","48911"
"14.01.2019 01:45 - 14.01.2019 02:00","47151","48665"
"14.01.2019 02:00 - 14.01.2019 02:15","46965","48324"
"14.01.2019 02:15 - 14.01.2019 02:30","46678","48112"
"14.01.2019 02:30 - 14.01.2019 02:45","47270","48021"
"14.01.2019 02:45 - 14.01.2019 03:00","47352","48587"
"14.01.2019 03:00 - 14.01.2019 03:15","47113","48637"
"14.01.2019 03:15 - 14.01.2019 03:30","47196","48724"
"14.01.2019 03:30 - 14.01.2019 03:45","47480","48876"
"14.01.2019 03:45 - 14.01.2019 04:00","47625","49088"
"14.01.2019 04:00 - 14.01.2019 04:15","48681","49697"
"14.01.2019 04:15 - 14.01.2019 04:30","48542","50233"
"14.01.2019 04:30 - 14.01.2019 04:45","49284","50855"
"14.01.2019 04:45 - 14.01.2019 05:00","49882","51523"
"14.01.2019 05:00 - 14.01.2019 05:15","50894","53413"
"14.01.2019 05:15 - 14.01.2019 05:30","51490","54239"
"14.01.2019 05:30 - 14.01.2019 05:45","52768","55409"
"14.01.2019 05:45 - 14.01.2019 06:00","54253","57087"
"14.01.2019 06:00 - 14.01.2019 06:15","56626","60304"
"14.01.2019 06:15 - 14.01.2019 06:30","59327","62704"
"14.01.2019 06:30 - 14.01.2019 06:45","61036","64564"
"14.01.2019 06:45 - 14.01.2019 07:00","62627","66507"
"14.01.2019 07:00 - 14.01.2019 07:15","64078","68801"
"14.01.2019 07:15 - 14.01.2019 07:30","65030","70123"
"14.01.2019 07:30 - 14.01.2019 07:45","65347","71079"
"14.01.2019 07:45 - 14.01.2019 08:00","66432","71918"
"14.01.2019 08:00 - 14.01.2019 08:15","67832","72533"
"14.01.2019 08:15 - 14.01.2019 08:30","67565","73026"
"14.01.2019 08:30 - 14.01.2019 08:45","67947","73131"
"14.01.2019 08:45 - 14.01.2019 09:00","68106","73392"
"14.01.2019 09:00 - 14.01.2019 09:15","67876","72633"
"14.01.2019 09:15 - 14.01.2019 09:30","69032","73140"
"14.01.2019 09:30 - 14.01.2019 09:45","68528","73539"
"14.01.2019 09:45 - 14.01.2019 10:00","69362","73698"
"14.01.2019 10:00 - 14.01.2019 10:15","69152","73479"
"14.01.2019 10:15 - 14.01.2019 10:30","69086","73550"
"14.01.2019 10:30 - 14.01.2019 10:45","69271","73427"
"14.01.2019 10:45 - 14.01.2019 11:00","69587","73631"
"14.01.2019 11:00 - 14.01.2019 11:15","70255","73984"
"14.01.2019 11:15 - 14.01.2019 11:30","70531","73988"
"14.01.2019 11:30 - 14.01.2019 11:45","70699","74329"
"14.01.2019 11:45 - 14.01.2019 12:00","71231","74471"
"14.01.2019 12:00 - 14.01.2019 12:15","70158","74025"
"14.01.2019 12:15 - 14.01.2019 12:30","70285","73696"
"14.01.2019 12:30 - 14.01.2019 12:45","70244","73954"
"14.01.2019 12:45 - 14.01.2019 13:00","70449","74013"
"14.01.2019 13:00 - 14.01.2019 13:15","70630","74283"
"14.01.2019 13:15 - 14.01.2019 13:30","70340","74020"
"14.01.2019 13:30 - 14.01.2019 13:45","69800","73734"
"14.01.2019 13:45 - 14.01.2019 14:00","70032","73293"
"14.01.2019 14:00 - 14.01.2019 14:15","69791","73225"
"14.01.2019 14:15 - 14.01.2019 14:30","69411","73175"
"14.01.2019 14:30 - 14.01.2019 14:45","69326","73147"
"14.01.2019 14:45 - 14.01.2019 15:00","68967","73001"
"14.01.2019 15:00 - 14.01.2019 15:15","68246","72967"
"14.01.2019 15:15 - 14.01.2019 15:30","69388","72454"
"14.01.2019 15:30 - 14.01.2019 15:45","69319","72184"
"14.01.2019 15:45 - 14.01.2019 16:00","69006","71785"
"14.01.2019 16:00 - 14.01.2019 16:15","69037","71821"
"14.01.2019 16:15 - 14.01.2019 16:30","68555","71720"
"14.01.2019 16:30 - 14.01.2019 16:45","66929","71807"
"14.01.2019 16:45 - 14.01.2019 17:00","67219","72897"
"14.01.2019 17:00 - 14.01.2019 17:15","67913","74434"
"14.01.2019 17:15 - 14.01.2019 17:30","68458","75321"
"14.01.2019 17:30 - 14.01.2019 17:45","68386","75726"
"14.01.2019 17:45 - 14.01.2019 18:00","69295","75703"
"14.01.2019 18:00 - 14.01.2019 18:15","68980","75166"
"14.01.2019 18:15 - 14.01.2019 18:30","68983","74626"
"14.01.2019 18:30 - 14.01.2019 18:45","69237","74657"
"14.01.2019 18:45 - 14.01.2019 19:00","68114","74327"
"14.01.2019 19:00 - 14.01.2019 19:15","68010","73721"
"14.01.2019 19:15 - 14.01.2019 19:30","67948","72903"
"14.01.2019 19:30 - 14.01.2019 19:45","67744","72750"
"14.01.2019 19:45 - 14.01.2019 20:00","66419","71979"
